timestamp per 10 minutes,Max node_stats.fs.io_stats.total.write_kilobytes,
"May 17th 2018, 08:00:00.000",1586986676,639048
"May 17th 2018, 08:10:00.000",1587625724,738488
"May 17th 2018, 08:20:00.000",1588364212,913876
"May 17th 2018, 08:30:00.000",1589278088,1023320
"May 17th 2018, 08:40:00.000",1590301408,878784
"May 17th 2018, 08:50:00.000",1591180192,696792
"May 17th 2018, 09:00:00.000",1591876984,639936
"May 17th 2018, 09:10:00.000",1592516920,605280
"May 17th 2018, 09:20:00.000",1593122200,657484
"May 17th 2018, 09:30:00.000",1593779684,501300
"May 17th 2018, 09:40:00.000",1594280984,932316
"May 17th 2018, 09:50:00.000",1595213300,975712
"May 17th 2018, 10:00:00.000",1596189012,896592
"May 17th 2018, 10:10:00.000",1597085604,869488
"May 17th 2018, 10:20:00.000",1597955092,1009428
"May 17th 2018, 10:30:00.000",1598964520,882032
"May 17th 2018, 10:40:00.000",1599846552,930532
"May 17th 2018, 10:50:00.000",1600777084,985912
"May 17th 2018, 11:00:00.000",1601762996,806228
"May 17th 2018, 11:10:00.000",1602569224,595420
"May 17th 2018, 11:20:00.000",1603164644,721740
"May 17th 2018, 11:30:00.000",1603886384,623240
"May 17th 2018, 11:40:00.000",1604509624,908284
"May 17th 2018, 11:50:00.000",1605417908,914100
"May 17th 2018, 12:00:00.000",1606332008,861496
"May 17th 2018, 12:10:00.000",1607193504,815932
"May 17th 2018, 12:20:00.000",1608009436,715592
"May 17th 2018, 12:30:00.000",1608725028,737828
"May 17th 2018, 12:40:00.000",1609462856,719548
"May 17th 2018, 12:50:00.000",1610182404,1066520
"May 17th 2018, 13:00:00.000",1611248924,1417000
"May 17th 2018, 13:10:00.000",1612665924,530432
"May 17th 2018, 13:20:00.000",1613196356,604520
"May 17th 2018, 13:30:00.000",1613800876,609016
"May 17th 2018, 13:40:00.000",1614409892,580416
"May 17th 2018, 13:50:00.000",1614990308,685004
"May 17th 2018, 14:00:00.000",1615675312,852180
"May 17th 2018, 14:10:00.000",1616527492,835828
"May 17th 2018, 14:20:00.000",1617363320,766724
"May 17th 2018, 14:30:00.000",1618130044,929260
"May 17th 2018, 14:40:00.000",1619059304,476984
"May 17th 2018, 14:50:00.000",1619536288,606884
"May 17th 2018, 15:00:00.000",1620143172,689848
"May 17th 2018, 15:10:00.000",1620833020,660848
"May 17th 2018, 15:20:00.000",1621493868,677764
"May 17th 2018, 15:30:00.000",1622171632,668884
"May 17th 2018, 15:40:00.000",1622840516,643200
"May 17th 2018, 15:50:00.000",1623483716,766984
"May 17th 2018, 16:00:00.000",1624250700,674108
"May 17th 2018, 16:10:00.000",1624924808,682720
